ID: , Name: Selectionner un titre
ID: MMM:EGX, Name: 3M Corp.
ID: VNP:CA, Name: 5N Plus
ID: ABBV, Name: AbbVie Inc.
ID: ADN:CA, Name: Acadian Timber Corp
ID: ACN:EGX, Name: Accenture Plc
ID: ADBE:EGX, Name: Adobe Inc.
ID: AMD:EGX, Name: Advanced Micro Devices
ID: AAV:CA, Name: Advantage Oil & Gas
ID: AGF.B:CA, Name: AGF Management
ID: A:EGX, Name: Agilent Technologies
ID: AGIO:EGX, Name: Agios Pharmaceuticals Inc
ID: AEM:CA, Name: Agnico Eagle Mines
ID: AIM:CA, Name: Aimia
ID: AC:CA, Name: Air Canada
ID: ALK:EGX, Name: Alaska Air Group
ID: ASTL:CA, Name: Algoma Steel Group Inc.
ID: AQN:CA, Name: Algonquin Power & Utilities Corp.
ID: BABA:EGX, Name: Alibaba Group Holding
ID: ATD:CA, Name: Alimentation Couche-Tard Inc
ID: MFI:CA, Name: Aliments Maple Leaf Inc.
ID: ALA:CA, Name: AltaGas Ltd
ID: ALS:CA, Name: Altius Minerals Corporation
ID: AMZN:EGX, Name: Amazon.com
ID: ABEV:EGX, Name: Ambev S.A.ADR
ID: AAL:EGX, Name: American Airlines Group
ID: AEP:EGX, Name: American Electric Power Company Inc.
ID: AXP:EGX, Name: American Express
ID: AIG:EGX, Name: American International Group
ID: AMGN:EGX, Name: Amgen Inc.
ID: ADW.A:CA, Name: Andrew Peller Ltd
ID: AU:EGX, Name: AngloGold Ashanti Ltd
ID: BUD:EGX, Name: Anheuser-Busch InBev
ID: AAPL:EGX, Name: Apple
ID: AMAT:EGX, Name: Applied Materials Inc.
ID: MT:EGX, Name: Arcelor Mittal
ID: ADM, Name: Archer-Daniels-Midland Company (ADM)
ID: ATZ:CA, Name: Aritzia Inc. , actions subalternes
ID: ASML:EGX, Name: ASML Holding N.V.
ID: AZN:EGX, Name: AstraZeneca PLC
ID: T:EGX, Name: AT&T
ID: ACO.X:CA, Name: Atco Ltd
ID: ATO:EGX, Name: Atmos Energy Corp
ID: ATS:CA, Name: ATS Automation Tooling Systems Inc.
ID: ACB:CA, Name: Aurora Cannabis Inc.
ID: ACQ:CA, Name: AutoCanada Inc.
ID: AYA:CA, Name: Aya Gold & Silver Inc.
ID: AZUL, Name: Azul S.A.
ID: BTO:CA, Name: B2Gold Corp.
ID: BDGI:CA, Name: Badger Infrastructure Solutions Ltée
ID: BIDU:EGX, Name: Baidu Inc.
ID: BLDP:CA, Name: Ballard Power
ID: BCH, Name: Banco de Chile ADR
ID: SAN:EGX, Name: Banco Santander Central Hispano
ID: BAC:EGX, Name: Bank of America
ID: BK:EGX, Name: Bank of New York Mellon Corporation
ID: CM:CA, Name: Banque cibc
ID: BMO:CA, Name: Banque de Montréal
ID: LB:CA, Name: Banque Laurentienne du Canada
ID: NA:CA, Name: Banque Nationale
ID: RY:CA, Name: Banque Royale
ID: BNS:CA, Name: Banque Scotia
ID: TD:CA, Name: Banque TD
ID: BZUN:EGX, Name: Baozun Inc.
ID: BCS:EGX, Name: Barclays PLC
ID: ABX:CA, Name: Barrick Gold
ID: BHC:CA, Name: Bausch Health (anc. Valeant Pharmaceuticals International, Inc)
ID: BTE:CA, Name: Baytex Energy Corp.
ID: BCE:CA, Name: BCE Inc.
ID: ONC:EGX, Name: BeiGene Ltd.
ID: BRK.B:EGX, Name: Berkshire Hathaway, catégorie B
ID: BTG773:CA, Name: Beutel Goodman marché monétaire D
ID: BYND:EGX, Name: Beyond Meat Inc.
ID: BHP:EGX, Name: BHP Billiton Ltd.
ID: BNTX:EGX, Name: BioNTech SE
ID: RX:CA, Name: BioSyent Inc
ID: BIRK, Name: Birkenstock Holding plc
ID: BITF:CA, Name: Bitfarms Ltée
ID: BB:CA, Name: Blackberry Ltd
ID: BLK:EGX, Name: BlackRock Inc.
ID: XYZ, Name: Block Inc. Class A
ID: BA:EGX, Name: Boeing
ID: BBD.B:CA, Name: Bombardier, catégorie B
ID: BLX:CA, Name: Boralex
ID: BPF.UN:CA, Name: Boston Pizza Royalties Income Fund
ID: BSX:EGX, Name: Boston Scientific Corporation
ID: BYD:CA, Name: Boyd Group Services Inc.
ID: BP:EGX, Name: BP Plc
ID: AVGO:EGX, Name: Broadcom Inc.
ID: BN:CA, Name: Brookfield Corporation
ID: BIPC:CA, Name: Brookfield Infrastructure Corporation, catégorie A
ID: BEPC:CA, Name: Brookfield Renewable Corporation, catégorie A
ID: BEP.UN:CA, Name: Brookfield Renewable Partners L.P.
ID: DOO:CA, Name: BRP
ID: BTB.UN:CA, Name: BTB Real Estate Investment Trust
ID: IWF, Name: BTC iShares Russell 1000 Growth ETF
ID: IWD, Name: BTC iShares Russell 1000 Value ETF
ID: CAE:CA, Name: CAE
ID: CGY:CA, Name: Calian Group Ltd.
ID: CCO:CA, Name: Cameco Corporation
ID: CF:CA, Name: Canaccord Genuity Group Inc.
ID: GOOS:CA, Name: Canada Goose Holdings Inc., actions subalternes
ID: CAR.UN:CA, Name: Canadian Apartment Properties REIT
ID: CNQ:CA, Name: Canadian Natural Resources
ID: CSIQ:EGX, Name: Canadian Solar Inc
ID: CTC.A:CA, Name: Canadian Tire, catégorie A
ID: CU:CA, Name: Canadian Utilities
ID: CFP:CA, Name: Canfor Corporation
ID: WEED:CA, Name: Canopy Growth Corporation
ID: CPX:CA, Name: Capital Power Corp.
ID: CS:CA, Name: Capstone Mining
ID: CJT:CA, Name: Cargojet Inc
ID: CUK, Name: Carnival Plc
ID: CAS:CA, Name: Cascades
ID: CAT:EGX, Name: Caterpillar Inc
ID: CCL.B:CA, Name: CCL Industries Inc
ID: CLS:CA, Name: Celestica Inc.
ID: CX:EGX, Name: Cemex S.A.B. ADR
ID: CVE:CA, Name: Cenovus Energy
ID: GIB.A:CA, Name: CGI Group
ID: CIA:CA, Name: Champion Iron Limited
ID: CSH.UN:CA, Name: Chartwell Retirement Residences
ID: CP:CA, Name: Chemin de fer Canadien Pacifique
ID: CHE.UN:CA, Name: Chemtrade Logistics Income Fund
ID: CVX:EGX, Name: Chevron
ID: HTHT:EGX, Name: China Lodging Group Limited
ID: CHR:CA, Name: Chorus Aviation Inc.
ID: CIX:CA, Name: CI Financial
ID: CGX:CA, Name: Cineplex Inc.
ID: CSCO:EGX, Name: Cisco Systems
ID: C:EGX, Name: Citigroup
ID: CKI:CA, Name: Clarke Inc.
ID: CLX, Name: Clorox Company
ID: CNR:CA, Name: CN
ID: CNH, Name: CNH Industrial N.V.
ID: KO:EGX, Name: Coca Cola
ID: CCA:CA, Name: Cogeco Cable
ID: COIN:EGX, Name: Coinbase Global Inc.
ID: CIGI:CA, Name: Colliers International Group Inc.
ID: CMCSA:EGX, Name: Comcast
ID: ELP, Name: Companhia Paranaense de Energia
ID: COP:EGX, Name: ConocoPhillips
ID: CSU:CA, Name: Constellation Software Inc
ID: CTS:CA, Name: Converge Technology Solutions Corp.
ID: CSCI:CA, Name: COSCIENS Biopharma Inc.
ID: COST:EGX, Name: Costco Wholesale Corporation
ID: CVO:CA, Name: Coveo Solutions Inc.
ID: BAP, Name: Credicorp Ltd.
ID: CRTO:EGX, Name: Criteo S.A.
ID: CRE:CA, Name: Critical Element Corporation
